id,parentId,key,programId,type,content,authorKaid,date,answerCount,replyCount,upvotes,lowQualityScore,flags
835,0,kaencrypted_349c2ac07a124eb71a0c710c26f40000_e886b1a12d321f859184c52fdfff56edfe2451078d6bfb9b6a8fe013b4665a52cf95a24f5ce80fb988c2f2e72923af0479cb02ef48396d7c7c1829a7e5c06e208995b0c6addd1d6dceb35021a83b0aeec294806fdda6200ee2ab31a75e3001bb034415acecb1456abd81fda2a460b9fdd4f1c4c05109f3ce339331ed9eaa4120,5629933726515200,question,go to this link plz https://www.khanacademy.org/computer-programming/animated-square/5597481292316672,kaid_232678236715992477712359,2022-01-20T17:14:27Z,0,0,1,0.372794653465347,inappropriate
866,865,kaencrypted_75b1fad20eb2557e431a56437fa910a2_d58f15daa47c357a81659fa5e86cb933c41a52492e5ef252959f34aa0acc5af6eca1c6a48f1dadbb3d606e34cfe0c2d98e660929035f237cd9c6d1486514068e312ee2dfb6022ccb5f9b1bf826b0f1d5244b7d9a9ba6a103d35118fd3bb199e5148b15bd3c3044910be7f7d045dc2c4b52e4ef0f903da9974f52bf6512032846b198638949df5ea2263d5320a316df0ab93f7caf5877e4267bb92c88665459fb614d955a4d35e7ba108606d3802565159c8a52a4042a4e831e33905ea8a34c3e,5629933726515200,answer,"I use short thrusts to just clear the hills then fall down until I'm just above the pad then use my thrusters to slow me down. It's quite hard when you first try it, but definitely gets easier the more you play :)",kaid_639291037700385781852565,2022-01-17T14:38:08Z,0,4,3,0.196225070422535,lowquality
1060,0,kaencrypted_903d67b6abdee09417680cb09b0a5470_d6e852be74c0b09e208425bb260b568ade1c01b6b06aa32fa90608dfa9bac35f189b2a9cfbaa59e6640476d3079a210b455f4c7ede40793dec573ba2d1987950180838036434504fa7e884fc634acc89c0d9e0d3d5d52c3ab966e0120a437615310592c15ad5d24295c10cd1b83b2cdb30a35009df36782c7f0958671b965fc8,5629933726515200,comment,"Wow, nice game.

Hey guys, I haven't been getting a lot of votes or attention on my programs even though I've been making programs for months now.
I would appreciate it if some of you go check out my programs and I would be so happy if you voted up my programs. :)",kaid_383301680770802884335795,2022-01-20T08:10:21Z,0,0,0,0.299700606060606,lowquality
1152,0,kaencrypted_7337f7b7d553b60ac61f7f11e40ca6d3_a9f7b9563819b32ec2d78768745a4b0cc0e1ee0513617cd02468c520d90ae9dbf0b7e59ee0b2976b4dd5c5f146e3fd2ed1743ff8347226c8b562d6264ad2900abb3fda7927777b567ff22894573417047455cc64c15acdd6d59b545de7c02e568dd80be0cbc7cdc3382cbc977edfb1c6e890129e7f64d7d74b0cef1be88a2a864b681d1c07d0c610ef2e64adcda7fa630c8f517a9b4da6caa8e767964d968bbbf8e1e88b79aa86f8cf75b78b99bfe5235476a64380dc2e07df72bd31593f81e3,6341733727125504,comment,Joe Biden,kaid_632250160684917867690509,2022-01-21T17:18:34Z,0,7,1,0.669006666666667,inappropriate
1155,1152,kaencrypted_b3a29ac7049013c28c4bc97e035d6814_aff8b22cf9482db93bc2c924d78ccd0a190e8b2a434ad70d8a7c6d8d813a704eed8e5aca11431bcdef16836026fe6a9a215ead991c6b59246db4916301c3dd60d71064e6f1639c9412d117024cf886a79998ec82d6561c2b1b1f46cc45b3ee2861b83b02c81aaa68c01cf105115e6ab8fe1701c5afdceb3562453b77fd54f0c4,6341733727125504,reply,"That doesn't mean he's exempt from the guidelines, even if you personally don't mind.",kaid_444393368263265950743090,2022-01-21T20:18:06Z,0,0,1,0.151511764705882,changetoquestion
1178,0,kaencrypted_ca0f953a01fd42c9c84ff83a35b6d0a0_47f2bc4a5f88970248e1c12c2aa1a5d94bf31afa85741a94d49fb3d60c10c5e6e1d0d5cfc853c8d9732e3b67b84fe07ae361a6211333e90faf134326845018121b54753b5074f456f7e8a9a0238fe2873e981e2106d841b4022f50ad47a90929b887ddd4861c163a62b7e2494ce46a2e05c6cd7928066f3ec6d43ce2b8a51381,5745309335470080,question,click my profile🙊,kaid_618085193587232686650188,2022-01-19T16:11:55Z,0,12,6,1.47500823529412,"inappropriate,lowquality"
1559,0,kaencrypted_c0c423f8d877a22cd5896544316b0da3_5dcc6d51952a812723757f2de6b773ce5623c418b93343026f4a313bace1e20de8e5ea2bd0964411af0439336e782af3aa5a78318e3b4fe5fbaa18f7521f8f853fa30855bd2d22c7f78608c720f82847cde0ec5a36771dd6a96ac85c86be471ffed9b5fa0e92bf1d665f4f2452af6ee55659bf49abd8c6fa9c378b9521bce48d,4974890013736960,comment,"HOLY sh...
wow
lotsofforloops...
nice?",kaid_101904269317089495055459,2022-01-18T14:09:46Z,0,1,1,1.22040631578947,"inappropriate,lowquality"
1790,0,kaencrypted_23ef0368f3ed98ef295ba37d624497e4_08ec2adcc2485e9a4a8a982b06c62fb5184ac56afde244785621459cd2ef5c6c66769b3e66d53e5e3e5a35e8280ef286899933b6289759f76677506dd23b7371592632231f4ebf4eccec86cad4e099d411132d56f8b705c122e5bf5ab3e1ef3fb4e74b1f3f9f6c09f506550ba0caef8b3b2453e7fef7ac601722e6b431cab962,4545141491679232,comment,"first?!

old concept but nontheless great game.",kaid_696445332218771331031472,2022-01-18T13:15:48Z,0,1,2,0.671794468085106,inappropriate
1853,0,kaencrypted_fcc304911da4995f3877c18b48b939ef_7b836035699e22ed5609e2397eb024c00a815cb8d54b160536e10fc890f39f8f89565e77dd8d52c29691b3696e814559f002839dd718cf4b9cb5fa1bb19b7dbad643bcb28c9711fd243115f61ba77526b45ea876e54f5dac5961164e0302420b59b69649552622fdf0e42f0304fd755eae661b6b39b3f8f1821cd9f50f45184a,4563945593552896,question,This is soo good!,kaid_4005062401008926475991022,2022-01-18T08:59:06Z,0,1,1,1.76912588235294,changetocomment
2431,2429,kaencrypted_5c7c418805977232a3c94c9cb6e26b80_144a5d69ee2f64326f2a291304503e40679c767700fa912aa6dbe8806e59c57baa14f1af2cdda4c85fdb783706d27e0e14589c34b0df87d59e5e694c7a180342b4437f2615b228b7ea07cbf7cb670b23d4fbfc24ed9e06a1b8f5618774ff3880595a7e9fc3f6418c14c5aeac312e3cf885c23aa2e3aecd0842e7c7f16fe41cca,5349675034001408,reply,"I just released a new game today too! You can check it out here if you want:

https://www.khanacademy.org/computer-programming/pac-man-game/6738610683428864",kaid_820167475461480890635740,2022-01-19T00:05:44Z,0,0,1,0.271329230769231,inappropriate
